2017/03/18 15:03:39 [error] 16099#0: *1 open() "/usr/local/Cellar/nginx/1.10.3/html/postget" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /postget HTTP/1.1", host: "localhost"
2017/03/18 15:06:09 [error] 16196#0: *2 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /getpost HTTP/1.1", upstream: "http://[::1]:8081/getpost", host: "localhost"
2017/03/18 17:33:24 [error] 16196#0: *11 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8081/", host: "localhost"
2017/03/18 17:33:24 [error] 16196#0: *11 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://[::1]:8081/", host: "localhost"
2017/03/18 17:33:36 [error] 16196#0: *11 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /:8080 HTTP/1.1", upstream: "http://[::1]:8081/:8080", host: "localhost"
2017/03/18 17:33:36 [error] 16196#0: *11 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /:8080 HTTP/1.1", upstream: "http://127.0.0.1:8081/:8080", host: "localhost"
2017/03/18 17:35:58 [error] 545#0: *1 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8081/", host: "localhost"
2017/03/18 17:36:32 [error] 545#0: *4 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://[::1]:8081/", host: "localhost"
2017/03/18 17:36:58 [error] 545#0: *1 upstream timed out (60: Operation timed out) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://[::1]:8081/", host: "localhost"
2017/03/18 17:42:11 [error] 545#0: *15 open() "/var/www/ask_pryahin/static/static/img/like.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/img/like.png HTTP/1.1", host: "localhost"
2017/03/18 18:19:41 [error] 3295#0: *1 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8081/", host: "localhost"
2017/03/18 18:19:41 [error] 3295#0: *1 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://[::1]:8081/", host: "localhost"
2017/03/18 18:19:55 [error] 3317#0: *1 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8081/", host: "localhost"
2017/03/18 18:19:55 [error] 3317#0: *1 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://[::1]:8081/", host: "localhost"
2017/03/18 18:28:57 [error] 3367#0: *2529 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /:8080 HTTP/1.1", upstream: "http://[::1]:8081/:8080", host: "localhost"
2017/03/18 18:40:39 [error] 515#0: *2 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST / HTTP/1.1", upstream: "http://127.0.0.1:8081/", host: "localhost", referrer: "http://localhost/"
2017/03/18 18:40:39 [error] 515#0: *2 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST / HTTP/1.1", upstream: "http://[::1]:8081/", host: "localhost", referrer: "http://localhost/"
2017/03/18 18:41:04 [error] 553#0: *5 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8081/", host: "localhost"
2017/03/18 18:41:04 [error] 553#0: *5 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://[::1]:8081/", host: "localhost"
2017/03/18 18:41:05 [error] 553#0: *5 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /:8080 HTTP/1.1", upstream: "http://gunicorn/:8080", host: "localhost"
2017/03/18 18:52:01 [error] 647#0: *503 directory index of "/var/www/ask_pryahin/" is forbidden, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", host: "localhost"
2017/03/18 18:52:05 [error] 647#0: *504 directory index of "/var/www/ask_pryahin/" is forbidden, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", host: "localhost"
2017/03/18 18:52:10 [error] 647#0: *503 directory index of "/var/www/ask_pryahin/" is forbidden, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", host: "localhost"
2017/03/18 18:52:11 [error] 647#0: *503 directory index of "/var/www/ask_pryahin/" is forbidden, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", host: "localhost"
2017/03/18 18:52:15 [error] 647#0: *509 open() "/var/www/ask_pryahin/static/static/bootstrap-4.0.0-alpha.6-dist/css/bootstrap.min.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/bootstrap-4.0.0-alpha.6-dist/css/bootstrap.min.css HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:15 [error] 647#0: *510 open() "/var/www/ask_pryahin/static/static/css/style.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/css/style.css HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:15 [error] 647#0: *511 open() "/var/www/ask_pryahin/static/static/img/ap_logo.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/img/ap_logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:15 [error] 647#0: *512 open() "/var/www/ask_pryahin/static/static/img/default_avatar.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/img/default_avatar.png HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:15 [error] 647#0: *513 open() "/var/www/ask_pryahin/static/static/img/like-black.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/img/like-black.png HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:17 [error] 647#0: *509 open() "/var/www/ask_pryahin/static/static/bootstrap-4.0.0-alpha.6-dist/css/bootstrap.min.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/bootstrap-4.0.0-alpha.6-dist/css/bootstrap.min.css HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:17 [error] 647#0: *510 open() "/var/www/ask_pryahin/static/static/css/style.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/css/style.css HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:17 [error] 647#0: *511 open() "/var/www/ask_pryahin/static/static/img/ap_logo.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/img/ap_logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:17 [error] 647#0: *512 open() "/var/www/ask_pryahin/static/static/img/default_avatar.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/img/default_avatar.png HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:17 [error] 647#0: *513 open() "/var/www/ask_pryahin/static/static/img/like-black.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/img/like-black.png HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:18 [error] 647#0: *509 open() "/var/www/ask_pryahin/static/static/bootstrap-4.0.0-alpha.6-dist/css/bootstrap.min.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/bootstrap-4.0.0-alpha.6-dist/css/bootstrap.min.css HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:18 [error] 647#0: *510 open() "/var/www/ask_pryahin/static/static/css/style.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/css/style.css HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:18 [error] 647#0: *511 open() "/var/www/ask_pryahin/static/static/img/ap_logo.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/img/ap_logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:18 [error] 647#0: *509 open() "/var/www/ask_pryahin/static/static/img/default_avatar.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/img/default_avatar.png HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:18 [error] 647#0: *510 open() "/var/www/ask_pryahin/static/static/img/like-black.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/img/like-black.png HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:18 [error] 647#0: *509 open() "/var/www/ask_pryahin/static/static/bootstrap-4.0.0-alpha.6-dist/css/bootstrap.min.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/bootstrap-4.0.0-alpha.6-dist/css/bootstrap.min.css HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:18 [error] 647#0: *510 open() "/var/www/ask_pryahin/static/static/css/style.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/css/style.css HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:18 [error] 647#0: *511 open() "/var/www/ask_pryahin/static/static/img/ap_logo.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/img/ap_logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:18 [error] 647#0: *509 open() "/var/www/ask_pryahin/static/static/img/default_avatar.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/img/default_avatar.png HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:18 [error] 647#0: *512 open() "/var/www/ask_pryahin/static/static/img/like-black.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/img/like-black.png HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:23 [error] 647#0: *509 open() "/var/www/ask_pryahin/static/static/bootstrap-4.0.0-alpha.6-dist/css/bootstrap.min.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/bootstrap-4.0.0-alpha.6-dist/css/bootstrap.min.css HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:23 [error] 647#0: *510 open() "/var/www/ask_pryahin/static/static/css/style.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/css/style.css HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:23 [error] 647#0: *511 open() "/var/www/ask_pryahin/static/static/img/ap_logo.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/img/ap_logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
2017/03/18 18:52:23 [error] 647#0: *509 open() "/var/www/ask_pryahin/static/static/img/default_avatar.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /static/img/default_avatar.png HTTP/1.1", host: "localhost", referrer: "http://localhost/index.html"
